symbol,disease,panel,panel_name,evidence_level
HTT,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
IFIH1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
IPPK,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
ISG15,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
IVD,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
JPH3,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
KCNA1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
KCNK18,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
KCNQ2,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
KCNQ3,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
L2HGDH,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
MAT1A,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
MCOLN1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
MECR,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
MMADHC,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
MPV17,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
MR1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
MT-ATP6,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
MT-ND1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
MT-ND6,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
MUT,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
NDUFA1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
NDUFA10,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
NDUFA12,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
NDUFA2,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
NDUFA9,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
NDUFAF2,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
NDUFAF6,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
NDUFS3,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
NDUFS4,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
NDUFS7,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
NDUFS8,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
NDUFV1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
NKX6-2,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
NPC2,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
NR4A2,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
NUP62,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
OCLN,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
OPA3,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
PCCA,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
PCCB,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
PCDH12,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
PDE10A,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
PDHA1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
PDHX,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
PDP1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
PDX1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
PNPT1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
PPP2R2B,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),NA
PSEN1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
PTEN,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
RNASEH2A,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
RNASEH2B,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
RNASEH2C,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SAMHD1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SCN1A,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SCN8A,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SCN9A,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SCP2,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SDHA,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SDHAF1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SERAC1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SLC1A3,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SLC25A19,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SLC39A14,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SLC41A1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SLC46A1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SLC6A3,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SLC6A5,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SNCAIP,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SUCLA2,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SUCLG1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SUOX,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
SURF1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
TBP,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
TH,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
TPK1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
TREM2,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
TREX1,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
TUBA1A,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
VAC14,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
VPS37A,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
WDR73,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
NA,Dystonia,Genomics England - Adult-onset,Dystonia (Genomics England - Adult-onset),limited
APP,Alzheimer's Disease,Invitae - Early-onset,Alzheimer's Disease (Invitae - Early-onset),NA
PSEN1,Alzheimer's Disease,Invitae - Early-onset,Alzheimer's Disease (Invitae - Early-onset),NA
PSEN2,Alzheimer's Disease,Invitae - Early-onset,Alzheimer's Disease (Invitae - Early-onset),NA
ADNP,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
BCL11A,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
C12ORF4,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
CACNA1C,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
CC2D1A,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
CNOT3,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
CNTN6,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
COL4A3BP,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
CSNK2A1,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
CTNND2,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
DHCR7,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
EHMT1,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
EN2,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
FBXO11,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
FOXP1,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
GAMT,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
KMT2E,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
KMT5B,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MBOAT7,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MECP2,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-ATP6,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-ATP8,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-CO1,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-CO2,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-CO3,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-CYB,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-ND1,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-ND2,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-ND3,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-ND4,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-ND4L,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-ND5,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-ND6,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-RNR1,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-RNR2,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TA,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TC,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TD,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TE,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TF,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TG,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TH,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TI,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TK,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TL1,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TL2,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TM,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TN,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TP,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TQ,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TR,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TS1,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TS2,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TT,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TV,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TW,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
MT-TY,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
NBEA,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
NFIB,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
NLGN3,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
NLGN4X,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
NSD1,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
POGZ,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
PTCHD1,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
PTEN,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
RPL10,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
SHANK3,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
TBR1,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
TCF20,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
TRIP12,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
TSC1,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
TSC2,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
VAMP2,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
WASF1,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
ZSWIM6,Autism Spectrum Disorders,Blueprint Genetics,Autism Spectrum Disorders (Blueprint Genetics),NA
ADNP,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
ADSL,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
AHDC1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
AHI1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
ALDH5A1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
ALG6,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
ANK2,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
ANKRD11,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
ARID1B,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
ARX,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
ASH1L,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
ASXL3,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
BAZ2B,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
BCKDK,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
BCL11A,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
BICRA,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
BRAF,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
C12orf57,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
CACNA1C,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
CDKL5,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
CHD2,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
CHD7,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
CHD8,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
CHKB,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
CLCN4,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
CNKSR2,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
CNOT3,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
CNTNAP2,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
CSDE1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
CUL3,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
DDX3X,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
DEAF1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
DHCR7,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
DMD,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
DSCAM,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
DYRK1A,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
EHMT1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
EP300,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
FMR1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
FOXP1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
GATM,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
GRIN2B,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
GRIP1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
HCN1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
HEPACAM,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
HERC2,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
HOXA1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
IQSEC2,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
KAT6A,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
KDM5B,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
KMT2A,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
KMT2C,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
KMT5B,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
MADD,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
MAGEL2,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
MBD5,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
MBOAT7,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
MECP2,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
MED13L,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
MEF2C,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
MYT1L,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
NAA15,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
NACC1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
NCKAP1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
NF1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
NFIX,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
NIPBL,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
NLGN3,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
NLGN4X,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
NR2F1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
NRXN1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
NSD1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
OCRL,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
PACS1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
PAX6,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
PCCA,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
PCCB,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
PCDH19,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
PIK3R2,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
POGZ,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
PPP2R5D,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
PRODH,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
PTCHD1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
PTEN,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
PTPN11,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
RAI1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
RALGAPB,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
RERE,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
RIMS1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
RIMS2,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
RPS6KA3,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
SATB2,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
SCN1A,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
SCN2A,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
SCN9A,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
SETD1B,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
SETD5,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
SGSH,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
SHANK1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
SHANK2,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
SHANK3,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
SIN3A,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
SLC4A10,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
SLC6A1,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
SLC9A6,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
SMARCA2,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
SNX14,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
SOX5,Autism Spectrum Disorders,PanelApp Australia,Autism Spectrum Disorders (PanelApp Australia),strong
